S.No,District,Total Positive Cases as on 12.07.2021,Discharged Cases as on 12.07.2021,Active Cases as on 12.07.2021,Death Cases as on 12.07.2021
1,Ariyalur,15368,14741,405,222
2,Chengalpattu,159430,155762,1294,2374
3,Chennai,535278,525336,1680,8262
4,Coimbatore,225334,219322,3905,2107
5,Cuddalore,59020,57288,940,792
6,Dharmapuri,25443,24461,757,225
7,Dindigul,31853,30993,253,607
8,Erode,91205,87848,2742,615
9,Kallakurichi,28104,27123,784,197
10,Kancheepuram,70921,69235,491,1195
11,Kanniyakumari,59472,57922,543,1007
12,Karur,22374,21723,304,347
13,Krishnagiri,40759,39754,693,312
14,Madurai,73026,71314,572,1140
15,Mayiladuthurai,20508,19936,312,260
16,Nagapattinam,18161,17524,355,282
17,Namakkal,46055,44798,823,434
18,Nilgiris,29486,28438,876,172
19,Perambalur,11286,10898,180,208
20,Pudukkottai,27585,26729,510,346
21,Ramanathapuram,19816,19336,141,339
22,Ranipet,41500,40298,470,732
23,Salem,91043,87499,2031,1513
24,Sivaganga,18277,17600,483,194
25,Tenkasi,26619,25949,194,476
26,Thanjavur,65747,63108,1823,816
27,Theni,42650,41813,331,506
28,Thoothukudi,54692,53827,483,382
29,Tiruchirappalli,71033,68641,1454,938
30,Tirunelveli,47433,46770,245,418
31,Tirupathur,27830,26974,273,583
32,Tiruppur,85673,83329,1543,801
33,Tiruvallur,112144,109564,854,1726
34,Tiruvannamalai,50788,48990,1177,621
35,Tiruvarur,37296,36529,412,355
36,Vellore,47437,45967,393,1077
37,Villupuram,43171,42242,595,334
38,Virudhunagar,45112,44080,495,537
39,Airport Surveillance (International),1006,1002,3,1
40,Airport Surveillance (Domestic),1075,1074,0,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2521438,2456165,31819,33454
