S.No,District,Total Positive Cases as on 11.02.2021,Discharged Cases as on 11.02.2021,Active Cases as on 11.02.2021,Death Cases as on 11.02.2021
1,Ariyalur,4709,4650,10,49
2,Chengalpattu,51954,50912,270,772
3,Chennai,232918,227226,1572,4120
4,Coimbatore,55018,53879,463,676
5,Cuddalore,25033,24667,79,287
6,Dharmapuri,6621,6540,27,54
7,Dindigul,11331,11084,48,199
8,Erode,14579,14255,174,150
9,Kallakurichi,10893,10774,11,108
10,Kancheepuram,29348,28817,90,441
11,Kanniyakumari,16935,16593,83,259
12,Karur,5445,5364,31,50
13,Krishnagiri,8101,7968,16,117
14,Madurai,21106,20575,72,459
15,Nagapattinam,8517,8329,55,133
16,Namakkal,11719,11551,57,111
17,Nilgiris,8266,8175,44,47
18,Perambalur,2275,2247,7,21
19,Pudukkottai,11604,11417,31,156
20,Ramanathapuram,6428,6282,9,137
21,Ranipet,16162,15941,33,188
22,Salem,32552,31994,92,466
23,Sivaganga,6693,6544,23,126
24,Tenkasi,8467,8276,32,159
25,Thanjavur,17859,17473,138,248
26,Theni,17118,16879,33,206
27,Thoothukudi,16302,16145,16,141
28,Tiruchirappalli,14820,14524,115,181
29,Tirunelveli,15645,15377,54,214
30,Tirupathur,7608,7460,22,126
31,Tiruppur,18091,17742,127,222
32,Tiruvallur,43813,42881,240,692
33,Tiruvannamalai,19413,19092,37,284
34,Tiruvarur,11257,11104,44,109
35,Vellore,20845,20420,76,349
36,Villupuram,15220,15084,24,112
37,Virudhunagar,16611,16349,31,231
38,Airport Surveillance (International),946,939,6,1
39,Airport Surveillance (Domestic),1040,1037,2,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,843690,826994,4294,12402
