S.No,District,Total Positive Cases as on 31.12.2020,Discharged Cases as on 31.12.2020,Active Cases as on 31.12.2020,Death Cases as on 31.12.2020
1,Ariyalur,4634,4574,12,48
2,Chengalpattu,50029,48698,588,743
3,Chennai,225507,218882,2617,4008
4,Coimbatore,52336,50869,814,653
5,Cuddalore,24681,24263,135,283
6,Dharmapuri,6412,6276,83,53
7,Dindigul,10945,10591,157,197
8,Erode,13679,13264,271,144
9,Kallakurichi,10800,10674,18,108
10,Kancheepuram,28703,28011,258,434
11,Kanniyakumari,16339,15954,129,256
12,Karur,5170,5039,81,50
13,Krishnagiri,7878,7648,114,116
14,Madurai,20532,19918,161,453
15,Nagapattinam,8151,7900,123,128
16,Namakkal,11203,10917,177,109
17,Nilgiris,7945,7785,114,46
18,Perambalur,2256,2233,2,21
19,Pudukkottai,11404,11195,54,155
20,Ramanathapuram,6322,6161,29,132
21,Ranipet,15911,15672,58,181
22,Salem,31586,30783,344,459
23,Sivaganga,6535,6344,65,126
24,Tenkasi,8263,8056,49,158
25,Thanjavur,17178,16703,238,237
26,Theni,16895,16631,60,204
27,Thoothukudi,16072,15852,79,141
28,Tiruchirappalli,14183,13803,204,176
29,Tirunelveli,15294,14952,131,211
30,Tirupathur,7444,7268,51,125
31,Tiruppur,17055,16530,308,217
32,Tiruvallur,42650,41584,387,679
33,Tiruvannamalai,19147,18789,77,281
34,Tiruvarur,10932,10710,113,109
35,Vellore,20220,19696,184,340
36,Villupuram,14995,14781,104,110
37,Virudhunagar,16344,16011,104,229
38,Airport Surveillance (International),930,925,4,1
39,Airport Surveillance (Domestic),1026,1021,4,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,818014,797391,8501,12122
