S.No,District,Total Positive Cases as on 20.02.2021,Discharged Cases as on 20.02.2021,Active Cases as on 20.02.2021,Death Cases as on 20.02.2021
1,Ariyalur,4722,4662,11,49
2,Chengalpattu,52406,51241,388,777
3,Chennai,234191,228460,1594,4137
4,Coimbatore,55415,54328,408,679
5,Cuddalore,25107,24744,76,287
6,Dharmapuri,6643,6560,28,55
7,Dindigul,11402,11148,55,199
8,Erode,14705,14423,132,150
9,Kallakurichi,10904,10785,11,108
10,Kancheepuram,29444,28919,80,445
11,Kanniyakumari,17022,16704,57,261
12,Karur,5485,5393,42,50
13,Krishnagiri,8133,7985,30,118
14,Madurai,21186,20657,69,460
15,Nagapattinam,8564,8380,51,133
16,Namakkal,11768,11617,40,111
17,Nilgiris,8318,8209,61,48
18,Perambalur,2281,2254,6,21
19,Pudukkottai,11630,11447,26,157
20,Ramanathapuram,6453,6302,14,137
21,Ranipet,16202,15985,28,189
22,Salem,32649,32123,60,466
23,Sivaganga,6749,6574,49,126
24,Tenkasi,8506,8307,40,159
25,Thanjavur,17969,17619,100,250
26,Theni,17141,16916,18,207
27,Thoothukudi,16334,16171,20,143
28,Tiruchirappalli,14919,14669,66,184
29,Tirunelveli,15693,15430,49,214
30,Tirupathur,7624,7484,14,126
31,Tiruppur,18231,17889,119,223
32,Tiruvallur,44028,43163,169,696
33,Tiruvannamalai,19459,19129,46,284
34,Tiruvarur,11317,11150,56,111
35,Vellore,20922,20517,55,350
36,Villupuram,15245,15109,23,113
37,Virudhunagar,16639,16389,18,232
38,Airport Surveillance (International),946,939,6,1
39,Airport Surveillance (Domestic),1043,1037,5,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,847823,831246,4120,12457
