S.No,District,Total Positive Cases as on 07.08.2021,Discharged Cases as on 07.08.2021,Active Cases as on 07.08.2021,Death Cases as on 07.08.2021
1,Ariyalur,15939,15446,256,237
2,Chengalpattu,162821,159205,1206,2410
3,Chennai,539487,529191,1959,8337
4,Coimbatore,230928,226558,2180,2190
5,Cuddalore,60921,59388,715,818
6,Dharmapuri,26300,25737,327,236
7,Dindigul,32277,31489,162,626
8,Erode,94879,92523,1718,638
9,Kallakurichi,29372,28708,465,199
10,Kancheepuram,71993,70353,430,1210
11,Kanniyakumari,60320,58972,326,1022
12,Karur,22766,22239,176,351
13,Krishnagiri,41547,40889,334,324
14,Madurai,73655,72271,237,1147
15,Mayiladuthurai,21220,20704,245,271
16,Nagapattinam,18913,18207,414,292
17,Namakkal,47590,46547,588,455
18,Nilgiris,30859,30176,498,185
19,Perambalur,11541,11215,101,225
20,Pudukkottai,28381,27690,321,370
21,Ramanathapuram,20091,19624,116,351
22,Ranipet,42087,41130,214,743
23,Salem,93969,91552,835,1582
24,Sivaganga,18944,18496,249,199
25,Tenkasi,26904,26288,133,483
26,Thanjavur,68626,66748,1023,855
27,Theni,43000,42349,137,514
28,Thoothukudi,55209,54611,200,398
29,Tiruchirappalli,72926,71217,737,972
30,Tirunelveli,48047,47365,252,430
31,Tirupathur,28366,27561,203,602
32,Tiruppur,88441,86714,867,860
33,Tiruvallur,114103,111438,900,1765
34,Tiruvannamalai,52388,51204,545,639
35,Tiruvarur,38139,37355,410,374
36,Vellore,48227,46840,291,1096
37,Villupuram,44064,43376,347,341
38,Virudhunagar,45586,44887,159,540
39,Airport Surveillance (International),1018,1010,7,1
40,Airport Surveillance (Domestic),1080,1076,3,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2573352,2518777,20286,34289
