S.No,District,Total Positive Cases as on 03.01.2021,Discharged Cases as on 03.01.2021,Active Cases as on 03.01.2021,Death Cases as on 03.01.2021
1,Ariyalur,4633,4580,5,48
2,Chengalpattu,50208,48936,528,744
3,Chennai,226234,219805,2406,4023
4,Coimbatore,52565,51157,753,655
5,Cuddalore,24720,24305,132,283
6,Dharmapuri,6443,6296,93,54
7,Dindigul,10989,10647,145,197
8,Erode,13795,13342,309,144
9,Kallakurichi,10808,10680,20,108
10,Kancheepuram,28794,28093,267,434
11,Kanniyakumari,16407,15992,159,256
12,Karur,5207,5066,91,50
13,Krishnagiri,7897,7706,75,116
14,Madurai,20592,19976,163,453
15,Nagapattinam,8192,7932,129,131
16,Namakkal,11266,10977,180,109
17,Nilgiris,7976,7820,110,46
18,Perambalur,2258,2234,3,21
19,Pudukkottai,11425,11210,60,155
20,Ramanathapuram,6334,6168,32,134
21,Ranipet,15935,15697,56,182
22,Salem,31703,30920,321,462
23,Sivaganga,6546,6362,58,126
24,Tenkasi,8285,8071,56,158
25,Thanjavur,17259,16776,245,238
26,Theni,16922,16642,76,204
27,Thoothukudi,16101,15873,87,141
28,Tiruchirappalli,14248,13876,196,176
29,Tirunelveli,15328,15007,110,211
30,Tirupathur,7473,7279,69,125
31,Tiruppur,17170,16668,283,219
32,Tiruvallur,42773,41746,347,680
33,Tiruvannamalai,19181,18824,74,283
34,Tiruvarur,10958,10754,95,109
35,Vellore,20283,19767,176,340
36,Villupuram,15035,14821,104,110
37,Virudhunagar,16385,16049,107,229
38,Airport Surveillance (International),930,925,4,1
39,Airport Surveillance (Domestic),1026,1022,3,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,820712,800429,8127,12156
