S.No,District,Total Positive Cases as on 07.02.2021,Discharged Cases as on 07.02.2021,Active Cases as on 07.02.2021,Death Cases as on 07.02.2021
1,Ariyalur,4707,4640,18,49
2,Chengalpattu,51795,50749,276,770
3,Chennai,232316,226643,1559,4114
4,Coimbatore,54801,53662,465,674
5,Cuddalore,24999,24640,72,287
6,Dharmapuri,6601,6526,21,54
7,Dindigul,11305,11039,67,199
8,Erode,14509,14183,176,150
9,Kallakurichi,10886,10770,8,108
10,Kancheepuram,29325,28778,107,440
11,Kanniyakumari,16897,16553,85,259
12,Karur,5427,5343,34,50
13,Krishnagiri,8094,7952,25,117
14,Madurai,21084,20528,97,459
15,Nagapattinam,8488,8311,44,133
16,Namakkal,11687,11498,78,111
17,Nilgiris,8245,8155,43,47
18,Perambalur,2270,2243,6,21
19,Pudukkottai,11581,11398,27,156
20,Ramanathapuram,6424,6278,9,137
21,Ranipet,16146,15923,36,187
22,Salem,32498,31937,95,466
23,Sivaganga,6681,6531,24,126
24,Tenkasi,8449,8258,32,159
25,Thanjavur,17805,17412,145,248
26,Theni,17104,16868,31,205
27,Thoothukudi,16290,16136,13,141
28,Tiruchirappalli,14766,14485,101,180
29,Tirunelveli,15624,15349,62,213
30,Tirupathur,7597,7447,24,126
31,Tiruppur,18027,17651,155,221
32,Tiruvallur,43718,42815,212,691
33,Tiruvannamalai,19395,19071,41,283
34,Tiruvarur,11238,11076,53,109
35,Vellore,20809,20376,85,348
36,Villupuram,15206,15065,29,112
37,Virudhunagar,16594,16334,29,231
38,Airport Surveillance (International),942,937,4,1
39,Airport Surveillance (Domestic),1039,1037,1,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,841797,825025,4389,12383
