S.No,District,Total Positive Cases as on 17.01.2021,Discharged Cases as on 17.01.2021,Active Cases as on 17.01.2021,Death Cases as on 17.01.2021
1,Ariyalur,4662,4600,13,49
2,Chengalpattu,50878,49764,357,757
3,Chennai,229074,223050,1959,4065
4,Coimbatore,53622,52352,608,662
5,Cuddalore,24851,24515,52,284
6,Dharmapuri,6534,6437,43,54
7,Dindigul,11129,10850,81,198
8,Erode,14087,13796,144,147
9,Kallakurichi,10860,10724,28,108
10,Kancheepuram,29070,28485,148,437
11,Kanniyakumari,16659,16264,138,257
12,Karur,5335,5227,58,50
13,Krishnagiri,8006,7825,64,117
14,Madurai,20816,20241,120,455
15,Nagapattinam,8327,8127,69,131
16,Namakkal,11471,11252,109,110
17,Nilgiris,8109,7985,77,47
18,Perambalur,2260,2238,1,21
19,Pudukkottai,11501,11303,43,155
20,Ramanathapuram,6385,6218,30,137
21,Ranipet,16042,15809,47,186
22,Salem,32162,31445,252,465
23,Sivaganga,6613,6440,47,126
24,Tenkasi,8347,8157,32,158
25,Thanjavur,17527,17112,172,243
26,Theni,17012,16757,50,205
27,Thoothukudi,16204,16013,50,141
28,Tiruchirappalli,14503,14190,134,179
29,Tirunelveli,15475,15165,98,212
30,Tirupathur,7538,7373,40,125
31,Tiruppur,17542,17109,213,220
32,Tiruvallur,43218,42299,235,684
33,Tiruvannamalai,19298,18963,52,283
34,Tiruvarur,11072,10903,60,109
35,Vellore,20565,20036,185,344
36,Villupuram,15113,14956,47,110
37,Virudhunagar,16506,16207,68,231
38,Airport Surveillance (International),940,928,11,1
39,Airport Surveillance (Domestic),1031,1025,5,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,830772,812568,5940,12264
