S.No,District,Total Positive Cases as on 03.07.2021,Discharged Cases as on 03.07.2021,Active Cases as on 03.07.2021,Death Cases as on 03.07.2021
1,Ariyalur,15019,14346,457,216
2,Chengalpattu,157468,153431,1671,2366
3,Chennai,533224,522561,2446,8217
4,Coimbatore,220969,215910,2996,2063
5,Cuddalore,58275,56570,938,767
6,Dharmapuri,24796,23687,901,208
7,Dindigul,31714,30748,367,599
8,Erode,90469,85606,4260,603
9,Kallakurichi,27383,26195,994,194
10,Kancheepuram,70472,68606,685,1181
11,Kanniyakumari,59172,57564,615,993
12,Karur,22175,21475,356,344
13,Krishnagiri,40174,38943,923,308
14,Madurai,72537,70684,734,1119
15,Mayiladuthurai,20250,19726,271,253
16,Nagapattinam,17894,17341,281,272
17,Namakkal,45068,43174,1474,420
18,Nilgiris,28604,27645,795,164
19,Perambalur,11140,10670,268,202
20,Pudukkottai,27188,26239,620,329
21,Ramanathapuram,19690,19147,207,336
22,Ranipet,41079,39727,627,725
23,Salem,88883,85913,1490,1480
24,Sivaganga,17870,17097,581,192
25,Tenkasi,26474,25715,291,468
26,Thanjavur,64253,61478,1988,787
27,Theni,42469,41539,436,494
28,Thoothukudi,54468,53658,431,379
29,Tiruchirappalli,69830,67575,1337,918
30,Tirunelveli,47283,46539,332,412
31,Tirupathur,27638,26827,233,578
32,Tiruppur,83354,80940,1645,769
33,Tiruvallur,111336,108701,922,1713
34,Tiruvannamalai,49861,48048,1209,604
35,Tiruvarur,36990,36124,528,338
36,Vellore,47043,45470,517,1056
37,Villupuram,42672,41821,519,332
38,Virudhunagar,44727,43662,533,532
39,Airport Surveillance (International),1006,1002,3,1
40,Airport Surveillance (Domestic),1075,1074,0,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2492420,2423606,35881,32933
