S.No,District,Total Positive Cases as on 28.01.2021,Discharged Cases as on 28.01.2021,Active Cases as on 28.01.2021,Death Cases as on 28.01.2021
1,Ariyalur,4681,4619,13,49
2,Chengalpattu,51409,50293,351,765
3,Chennai,230834,225156,1582,4096
4,Coimbatore,54225,53129,426,670
5,Cuddalore,24910,24593,32,285
6,Dharmapuri,6577,6492,31,54
7,Dindigul,11231,10955,78,198
8,Erode,14305,13979,176,150
9,Kallakurichi,10866,10754,4,108
10,Kancheepuram,29221,28643,139,439
11,Kanniyakumari,16791,16427,107,257
12,Karur,5383,5301,32,50
13,Krishnagiri,8055,7907,31,117
14,Madurai,20966,20398,111,457
15,Nagapattinam,8429,8226,71,132
16,Namakkal,11595,11392,93,110
17,Nilgiris,8187,8079,61,47
18,Perambalur,2263,2239,3,21
19,Pudukkottai,11542,11364,22,156
20,Ramanathapuram,6411,6258,16,137
21,Ranipet,16107,15873,47,187
22,Salem,32363,31756,142,465
23,Sivaganga,6651,6500,25,126
24,Tenkasi,8413,8207,48,158
25,Thanjavur,17642,17340,57,245
26,Theni,17067,16820,42,205
27,Thoothukudi,16270,16082,47,141
28,Tiruchirappalli,14646,14354,112,180
29,Tirunelveli,15553,15282,58,213
30,Tirupathur,7565,7421,19,125
31,Tiruppur,17829,17429,179,221
32,Tiruvallur,43486,42595,200,691
33,Tiruvannamalai,19346,19034,29,283
34,Tiruvarur,11177,10991,77,109
35,Vellore,20694,20250,97,347
36,Villupuram,15175,15021,42,112
37,Virudhunagar,16549,16295,23,231
38,Airport Surveillance (International),940,937,2,1
39,Airport Surveillance (Domestic),1036,1031,4,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,836818,819850,4629,12339
