S.No,District,Total Positive Cases as on 09.02.2021,Discharged Cases as on 09.02.2021,Active Cases as on 09.02.2021,Death Cases as on 09.02.2021
1,Ariyalur,4709,4645,15,49
2,Chengalpattu,51875,50848,256,771
3,Chennai,232603,226935,1550,4118
4,Coimbatore,54905,53773,458,674
5,Cuddalore,25012,24657,68,287
6,Dharmapuri,6610,6531,25,54
7,Dindigul,11315,11064,52,199
8,Erode,14551,14211,190,150
9,Kallakurichi,10891,10771,12,108
10,Kancheepuram,29342,28795,107,440
11,Kanniyakumari,16924,16576,89,259
12,Karur,5434,5350,34,50
13,Krishnagiri,8099,7961,21,117
14,Madurai,21093,20549,85,459
15,Nagapattinam,8502,8317,52,133
16,Namakkal,11709,11521,77,111
17,Nilgiris,8255,8163,45,47
18,Perambalur,2271,2245,5,21
19,Pudukkottai,11588,11408,24,156
20,Ramanathapuram,6426,6280,9,137
21,Ranipet,16153,15935,30,188
22,Salem,32528,31965,97,466
23,Sivaganga,6679,6534,19,126
24,Tenkasi,8455,8268,28,159
25,Thanjavur,17830,17433,149,248
26,Theni,17111,16874,32,205
27,Thoothukudi,16296,16140,15,141
28,Tiruchirappalli,14797,14506,111,180
29,Tirunelveli,15637,15362,61,214
30,Tirupathur,7602,7453,23,126
31,Tiruppur,18058,17699,138,221
32,Tiruvallur,43771,42839,240,692
33,Tiruvannamalai,19402,19081,38,283
34,Tiruvarur,11244,11091,44,109
35,Vellore,20826,20406,72,348
36,Villupuram,15215,15077,26,112
37,Virudhunagar,16602,16344,27,231
38,Airport Surveillance (International),943,939,3,1
39,Airport Surveillance (Domestic),1039,1037,1,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,842730,826011,4328,12391
