S.No,District,Total Positive Cases as on 10.08.2021,Discharged Cases as on 10.08.2021,Active Cases as on 10.08.2021,Death Cases as on 10.08.2021
1,Ariyalur,16016,15534,243,239
2,Chengalpattu,163135,159592,1130,2413
3,Chennai,540063,529716,2005,8342
4,Coimbatore,231633,227200,2234,2199
5,Cuddalore,61144,59575,748,821
6,Dharmapuri,26390,25828,325,237
7,Dindigul,32309,31523,160,626
8,Erode,95399,93034,1725,640
9,Kallakurichi,29490,28812,479,199
10,Kancheepuram,72102,70447,443,1212
11,Kanniyakumari,60421,59062,337,1022
12,Karur,22813,22285,177,351
13,Krishnagiri,41612,40967,321,324
14,Madurai,73714,72336,231,1147
15,Mayiladuthurai,21300,20771,258,271
16,Nagapattinam,19039,18310,437,292
17,Namakkal,47734,46682,594,458
18,Nilgiris,31005,30318,501,186
19,Perambalur,11569,11235,109,225
20,Pudukkottai,28494,27782,340,372
21,Ramanathapuram,20104,19652,101,351
22,Ranipet,42147,41186,216,745
23,Salem,94242,91801,847,1594
24,Sivaganga,19001,18570,232,199
25,Tenkasi,26919,26321,114,484
26,Thanjavur,68895,67031,1002,862
27,Theni,43025,42390,121,514
28,Thoothukudi,55256,54659,199,398
29,Tiruchirappalli,73135,71407,752,976
30,Tirunelveli,48137,47443,264,430
31,Tirupathur,28400,27609,187,604
32,Tiruppur,88676,86954,848,874
33,Tiruvallur,114361,111671,925,1765
34,Tiruvannamalai,52534,51376,518,640
35,Tiruvarur,38287,37481,431,375
36,Vellore,48317,46924,297,1096
37,Villupuram,44168,43473,354,341
38,Virudhunagar,45618,44929,148,541
39,Airport Surveillance (International),1018,1010,7,1
40,Airport Surveillance (Domestic),1080,1076,3,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2579130,2524400,20363,34367
