S.No,District,Total Positive Cases as on 11.08.2021,Discharged Cases as on 11.08.2021,Active Cases as on 11.08.2021,Death Cases as on 11.08.2021
1,Ariyalur,16037,15560,237,240
2,Chengalpattu,163274,159709,1152,2413
3,Chennai,540300,529907,2048,8345
4,Coimbatore,231863,227403,2259,2201
5,Cuddalore,61220,59622,777,821
6,Dharmapuri,26415,25862,316,237
7,Dindigul,32322,31538,157,627
8,Erode,95559,93208,1710,641
9,Kallakurichi,29521,28854,468,199
10,Kancheepuram,72144,70483,448,1213
11,Kanniyakumari,60451,59090,339,1022
12,Karur,22836,22297,188,351
13,Krishnagiri,41638,41004,309,325
14,Madurai,73729,72354,228,1147
15,Mayiladuthurai,21325,20795,259,271
16,Nagapattinam,19075,18353,427,295
17,Namakkal,47771,46739,574,458
18,Nilgiris,31048,30369,493,186
19,Perambalur,11579,11245,109,225
20,Pudukkottai,28533,27805,356,372
21,Ramanathapuram,20110,19665,94,351
22,Ranipet,42169,41208,216,745
23,Salem,94328,91888,843,1597
24,Sivaganga,19022,18594,229,199
25,Tenkasi,26928,26332,112,484
26,Thanjavur,68972,67113,995,864
27,Theni,43038,42404,120,514
28,Thoothukudi,55274,54680,196,398
29,Tiruchirappalli,73209,71481,749,979
30,Tirunelveli,48151,47469,252,430
31,Tirupathur,28410,27628,178,604
32,Tiruppur,88754,87021,857,876
33,Tiruvallur,114461,111754,941,1766
34,Tiruvannamalai,52586,51442,503,641
35,Tiruvarur,38327,37519,432,376
36,Vellore,48356,46951,308,1097
37,Villupuram,44205,43506,358,341
38,Virudhunagar,45628,44949,137,542
39,Airport Surveillance (International),1018,1012,5,1
40,Airport Surveillance (Domestic),1080,1076,3,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2581094,2526317,20382,34395
