S.No,District,Total Positive Cases as on 05.01.2021,Discharged Cases as on 05.01.2021,Active Cases as on 05.01.2021,Death Cases as on 05.01.2021
1,Ariyalur,4642,4583,11,48
2,Chengalpattu,50319,49125,447,747
3,Chennai,226700,220328,2342,4030
4,Coimbatore,52732,51337,738,657
5,Cuddalore,24745,24322,140,283
6,Dharmapuri,6463,6313,96,54
7,Dindigul,11012,10686,129,197
8,Erode,13851,13411,295,145
9,Kallakurichi,10820,10687,25,108
10,Kancheepuram,28837,28154,249,434
11,Kanniyakumari,16453,16017,180,256
12,Karur,5235,5085,100,50
13,Krishnagiri,7913,7735,61,117
14,Madurai,20627,20012,160,455
15,Nagapattinam,8220,7960,129,131
16,Namakkal,11295,11012,173,110
17,Nilgiris,8002,7854,102,46
18,Perambalur,2258,2234,3,21
19,Pudukkottai,11436,11226,55,155
20,Ramanathapuram,6341,6177,30,134
21,Ranipet,15954,15705,67,182
22,Salem,31771,31013,294,464
23,Sivaganga,6557,6379,52,126
24,Tenkasi,8298,8086,54,158
25,Thanjavur,17287,16840,208,239
26,Theni,16937,16660,73,204
27,Thoothukudi,16122,15890,91,141
28,Tiruchirappalli,14290,13927,187,176
29,Tirunelveli,15344,15024,108,212
30,Tirupathur,7482,7295,62,125
31,Tiruppur,17237,16731,287,219
32,Tiruvallur,42849,41852,317,680
33,Tiruvannamalai,19203,18835,85,283
34,Tiruvarur,10982,10776,97,109
35,Vellore,20309,19816,153,340
36,Villupuram,15055,14846,99,110
37,Virudhunagar,16408,16077,102,229
38,Airport Surveillance (International),930,925,4,1
39,Airport Surveillance (Domestic),1026,1022,3,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,822370,802385,7808,12177
