S.No,District,Total Positive Cases as on 04.01.2021,Discharged Cases as on 04.01.2021,Active Cases as on 04.01.2021,Death Cases as on 04.01.2021
1,Ariyalur,4637,4581,8,48
2,Chengalpattu,50260,49034,480,746
3,Chennai,226456,220072,2359,4025
4,Coimbatore,52649,51251,742,656
5,Cuddalore,24730,24311,136,283
6,Dharmapuri,6451,6307,90,54
7,Dindigul,11002,10666,139,197
8,Erode,13820,13379,296,145
9,Kallakurichi,10815,10685,22,108
10,Kancheepuram,28818,28124,260,434
11,Kanniyakumari,16431,16001,174,256
12,Karur,5225,5078,97,50
13,Krishnagiri,7904,7721,66,117
14,Madurai,20612,19996,163,453
15,Nagapattinam,8211,7945,135,131
16,Namakkal,11272,10995,168,109
17,Nilgiris,7993,7839,108,46
18,Perambalur,2257,2234,2,21
19,Pudukkottai,11430,11221,54,155
20,Ramanathapuram,6338,6173,31,134
21,Ranipet,15944,15702,60,182
22,Salem,31742,30966,313,463
23,Sivaganga,6551,6373,52,126
24,Tenkasi,8291,8076,57,158
25,Thanjavur,17279,16804,236,239
26,Theni,16933,16648,81,204
27,Thoothukudi,16110,15882,87,141
28,Tiruchirappalli,14263,13898,189,176
29,Tirunelveli,15337,15015,110,212
30,Tirupathur,7478,7288,65,125
31,Tiruppur,17210,16699,292,219
32,Tiruvallur,42809,41798,331,680
33,Tiruvannamalai,19192,18829,80,283
34,Tiruvarur,10972,10761,102,109
35,Vellore,20298,19792,166,340
36,Villupuram,15047,14830,107,110
37,Virudhunagar,16399,16065,105,229
38,Airport Surveillance (International),930,925,4,1
39,Airport Surveillance (Domestic),1026,1022,3,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,821550,801414,7970,12166
