S.No,District,Total Positive Cases as on 08.02.2021,Discharged Cases as on 08.02.2021,Active Cases as on 08.02.2021,Death Cases as on 08.02.2021
1,Ariyalur,4708,4641,18,49
2,Chengalpattu,51840,50800,270,770
3,Chennai,232464,226797,1551,4116
4,Coimbatore,54851,53722,455,674
5,Cuddalore,25011,24646,78,287
6,Dharmapuri,6602,6527,21,54
7,Dindigul,11309,11051,59,199
8,Erode,14526,14193,183,150
9,Kallakurichi,10887,10770,9,108
10,Kancheepuram,29328,28785,103,440
11,Kanniyakumari,16913,16563,91,259
12,Karur,5428,5346,32,50
13,Krishnagiri,8098,7956,25,117
14,Madurai,21089,20540,90,459
15,Nagapattinam,8493,8313,47,133
16,Namakkal,11699,11509,79,111
17,Nilgiris,8248,8161,40,47
18,Perambalur,2271,2245,5,21
19,Pudukkottai,11583,11402,25,156
20,Ramanathapuram,6426,6279,10,137
21,Ranipet,16150,15933,29,188
22,Salem,32511,31954,91,466
23,Sivaganga,6680,6533,21,126
24,Tenkasi,8449,8262,28,159
25,Thanjavur,17818,17421,149,248
26,Theni,17108,16871,32,205
27,Thoothukudi,16292,16139,12,141
28,Tiruchirappalli,14785,14496,109,180
29,Tirunelveli,15630,15358,58,214
30,Tirupathur,7599,7449,24,126
31,Tiruppur,18049,17672,156,221
32,Tiruvallur,43735,42825,219,691
33,Tiruvannamalai,19397,19075,39,283
34,Tiruvarur,11242,11083,50,109
35,Vellore,20821,20392,81,348
36,Villupuram,15210,15070,28,112
37,Virudhunagar,16601,16339,31,231
38,Airport Surveillance (International),943,937,5,1
39,Airport Surveillance (Domestic),1039,1037,1,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,842261,825520,4354,12387
