S.No,District,Total Positive Cases as on 21.02.2021,Discharged Cases as on 21.02.2021,Active Cases as on 21.02.2021,Death Cases as on 21.02.2021
1,Ariyalur,4725,4664,12,49
2,Chengalpattu,52446,51281,388,777
3,Chennai,234345,228580,1627,4138
4,Coimbatore,55460,54375,406,679
5,Cuddalore,25110,24760,63,287
6,Dharmapuri,6644,6564,25,55
7,Dindigul,11407,11153,54,200
8,Erode,14719,14438,131,150
9,Kallakurichi,10905,10788,9,108
10,Kancheepuram,29462,28930,87,445
11,Kanniyakumari,17035,16719,55,261
12,Karur,5487,5398,39,50
13,Krishnagiri,8135,7989,28,118
14,Madurai,21193,20669,64,460
15,Nagapattinam,8568,8387,48,133
16,Namakkal,11773,11622,40,111
17,Nilgiris,8326,8215,63,48
18,Perambalur,2281,2255,5,21
19,Pudukkottai,11632,11452,23,157
20,Ramanathapuram,6455,6306,12,137
21,Ranipet,16204,15991,24,189
22,Salem,32664,32134,64,466
23,Sivaganga,6756,6580,50,126
24,Tenkasi,8507,8314,34,159
25,Thanjavur,17987,17635,102,250
26,Theni,17143,16924,12,207
27,Thoothukudi,16335,16174,18,143
28,Tiruchirappalli,14926,14675,67,184
29,Tirunelveli,15699,15434,51,214
30,Tirupathur,7626,7488,12,126
31,Tiruppur,18245,17898,123,224
32,Tiruvallur,44058,43186,176,696
33,Tiruvannamalai,19461,19136,41,284
34,Tiruvarur,11321,11156,54,111
35,Vellore,20929,20525,54,350
36,Villupuram,15247,15112,22,113
37,Virudhunagar,16642,16395,15,232
38,Airport Surveillance (International),946,939,6,1
39,Airport Surveillance (Domestic),1043,1037,5,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,848275,831706,4109,12460
