S.No,District,Total Positive Cases as on 27.06.2021,Discharged Cases as on 27.06.2021,Active Cases as on 27.06.2021,Death Cases as on 27.06.2021
1,Ariyalur,14676,13868,604,204
2,Chengalpattu,156202,151507,2353,2342
3,Chennai,531732,520016,3555,8161
4,Coimbatore,217828,210210,5608,2010
5,Cuddalore,57621,55657,1213,751
6,Dharmapuri,24179,23213,763,203
7,Dindigul,31481,30587,311,583
8,Erode,88215,83312,4320,583
9,Kallakurichi,26735,25407,1136,192
10,Kancheepuram,70001,68322,511,1168
11,Kanniyakumari,58705,57288,445,972
12,Karur,21920,20842,739,339
13,Krishnagiri,39557,38180,1080,297
14,Madurai,72066,70360,622,1084
15,Nagapattinam,37802,36659,632,511
16,Namakkal,44144,41815,1916,413
17,Nilgiris,28104,27244,700,160
18,Perambalur,10996,10542,259,195
19,Pudukkottai,26747,25883,548,316
20,Ramanathapuram,19569,18942,297,330
21,Ranipet,40702,39325,673,704
22,Salem,86842,83034,2360,1448
23,Sivaganga,17500,16667,645,188
24,Tenkasi,26413,25630,319,464
25,Thanjavur,62948,60120,2127,701
26,Theni,42174,41123,563,488
27,Thoothukudi,54131,53440,317,374
28,Tiruchirappalli,68686,66782,1008,896
29,Tirunelveli,47178,46347,423,408
30,Tirupathur,27466,26379,518,569
31,Tiruppur,81442,78787,1911,744
32,Tiruvallur,110689,108129,864,1696
33,Tiruvannamalai,48874,47203,1080,591
34,Tiruvarur,36633,35642,671,320
35,Vellore,46776,45298,445,1033
36,Villupuram,42278,41425,524,329
37,Virudhunagar,44354,43094,739,521
38,Airport Surveillance (International),1005,1002,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,2465874,2390783,42801,32290
