S.No,District,Total Positive Cases as on 01.02.2021,Discharged Cases as on 01.02.2021,Active Cases as on 01.02.2021,Death Cases as on 01.02.2021
1,Ariyalur,4694,4628,17,49
2,Chengalpattu,51579,50512,299,768
3,Chennai,231424,225729,1586,4109
4,Coimbatore,54444,53351,422,671
5,Cuddalore,24940,24606,49,285
6,Dharmapuri,6587,6506,27,54
7,Dindigul,11268,10984,85,199
8,Erode,14384,14049,185,150
9,Kallakurichi,10875,10759,8,108
10,Kancheepuram,29265,28693,133,439
11,Kanniyakumari,16838,16467,114,257
12,Karur,5400,5320,30,50
13,Krishnagiri,8077,7920,40,117
14,Madurai,21011,20458,96,457
15,Nagapattinam,8450,8256,62,132
16,Namakkal,11646,11435,100,111
17,Nilgiris,8210,8109,54,47
18,Perambalur,2267,2239,7,21
19,Pudukkottai,11569,11375,38,156
20,Ramanathapuram,6414,6265,12,137
21,Ranipet,16125,15896,42,187
22,Salem,32428,31839,123,466
23,Sivaganga,6660,6509,25,126
24,Tenkasi,8429,8233,38,158
25,Thanjavur,17697,17376,74,247
26,Theni,17078,16849,24,205
27,Thoothukudi,16277,16099,37,141
28,Tiruchirappalli,14687,14403,104,180
29,Tirunelveli,15577,15300,64,213
30,Tirupathur,7579,7430,23,126
31,Tiruppur,17920,17488,211,221
32,Tiruvallur,43563,42733,139,691
33,Tiruvannamalai,19362,19047,32,283
34,Tiruvarur,11201,11035,57,109
35,Vellore,20751,20299,104,348
36,Villupuram,15191,15039,40,112
37,Virudhunagar,16569,16315,23,231
38,Airport Surveillance (International),940,937,2,1
39,Airport Surveillance (Domestic),1038,1031,6,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,838842,821947,4532,12363
