S.No,District,Total Positive Cases as on 07.01.2021,Discharged Cases as on 07.01.2021,Active Cases as on 07.01.2021,Death Cases as on 07.01.2021
1,Ariyalur,4647,4585,13,49
2,Chengalpattu,50412,49259,403,750
3,Chennai,227145,220833,2274,4038
4,Coimbatore,52899,51506,734,659
5,Cuddalore,24772,24364,125,283
6,Dharmapuri,6484,6347,83,54
7,Dindigul,11031,10730,104,197
8,Erode,13908,13483,280,145
9,Kallakurichi,10826,10692,26,108
10,Kancheepuram,28873,28209,230,434
11,Kanniyakumari,16504,16056,191,257
12,Karur,5254,5115,89,50
13,Krishnagiri,7930,7746,67,117
14,Madurai,20667,20049,163,455
15,Nagapattinam,8240,7988,121,131
16,Namakkal,11327,11060,157,110
17,Nilgiris,8021,7869,105,47
18,Perambalur,2258,2235,2,21
19,Pudukkottai,11446,11236,55,155
20,Ramanathapuram,6352,6185,33,134
21,Ranipet,15981,15718,78,185
22,Salem,31847,31078,305,464
23,Sivaganga,6562,6402,34,126
24,Tenkasi,8308,8104,46,158
25,Thanjavur,17322,16897,186,239
26,Theni,16950,16673,73,204
27,Thoothukudi,16146,15912,93,141
28,Tiruchirappalli,14327,13980,169,178
29,Tirunelveli,15373,15050,111,212
30,Tirupathur,7491,7308,58,125
31,Tiruppur,17292,16798,274,220
32,Tiruvallur,42929,41919,330,680
33,Tiruvannamalai,19222,18852,87,283
34,Tiruvarur,11000,10803,88,109
35,Vellore,20369,19848,180,341
36,Villupuram,15058,14872,76,110
37,Virudhunagar,16428,16100,99,229
38,Airport Surveillance (International),930,926,3,1
39,Airport Surveillance (Domestic),1027,1024,2,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,823986,804239,7547,12200
