S.No,District,Total Positive Cases as on 30.01.2021,Discharged Cases as on 30.01.2021,Active Cases as on 30.01.2021,Death Cases as on 30.01.2021
1,Ariyalur,4686,4622,15,49
2,Chengalpattu,51501,50390,343,768
3,Chennai,231148,225487,1563,4098
4,Coimbatore,54330,53237,422,671
5,Cuddalore,24925,24601,39,285
6,Dharmapuri,6580,6498,28,54
7,Dindigul,11240,10963,79,198
8,Erode,14343,14002,191,150
9,Kallakurichi,10869,10758,3,108
10,Kancheepuram,29245,28670,136,439
11,Kanniyakumari,16815,16445,113,257
12,Karur,5396,5311,35,50
13,Krishnagiri,8067,7914,36,117
14,Madurai,20992,20419,116,457
15,Nagapattinam,8444,8246,66,132
16,Namakkal,11612,11412,89,111
17,Nilgiris,8203,8093,63,47
18,Perambalur,2263,2239,3,21
19,Pudukkottai,11555,11367,32,156
20,Ramanathapuram,6411,6263,11,137
21,Ranipet,16114,15883,44,187
22,Salem,32404,31807,131,466
23,Sivaganga,6657,6506,25,126
24,Tenkasi,8416,8216,42,158
25,Thanjavur,17663,17354,63,246
26,Theni,17071,16833,33,205
27,Thoothukudi,16273,16092,40,141
28,Tiruchirappalli,14667,14377,110,180
29,Tirunelveli,15567,15290,64,213
30,Tirupathur,7570,7425,19,126
31,Tiruppur,17872,17468,183,221
32,Tiruvallur,43527,42673,163,691
33,Tiruvannamalai,19353,19041,29,283
34,Tiruvarur,11182,11011,62,109
35,Vellore,20724,20270,106,348
36,Villupuram,15180,15027,41,112
37,Virudhunagar,16561,16301,29,231
38,Airport Surveillance (International),940,937,2,1
39,Airport Surveillance (Domestic),1038,1031,6,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,837832,820907,4575,12350
