S.No,District,Total Positive Cases as on 20.05.2021,Discharged Cases as on 20.05.2021,Active Cases as on 20.05.2021,Death Cases as on 20.05.2021
1,Ariyalur,8476,6654,1758,64
2,Chengalpattu,122369,105734,15240,1395
3,Chennai,462448,408676,47667,6105
4,Coimbatore,128493,99188,28363,942
5,Cuddalore,41148,34142,6585,421
6,Dharmapuri,14727,12028,2607,92
7,Dindigul,22353,19455,2602,296
8,Erode,38614,29494,8904,216
9,Kallakurichi,17264,14303,2842,119
10,Kancheepuram,54373,46764,6834,775
11,Kanniyakumari,36711,27079,9106,526
12,Karur,12879,10674,2074,131
13,Krishnagiri,25714,18541,7003,170
14,Madurai,51881,39393,11758,730
15,Nagapattinam,21817,17470,4095,252
16,Namakkal,23581,20189,3220,172
17,Nilgiris,14072,11436,2570,66
18,Perambalur,5467,3569,1856,42
19,Pudukkottai,18729,15877,2671,181
20,Ramanathapuram,13416,10314,2950,152
21,Ranipet,28949,25258,3381,310
22,Salem,54567,48887,4953,727
23,Sivaganga,12074,10378,1551,145
24,Tenkasi,18011,14466,3296,249
25,Thanjavur,37231,32026,4781,424
26,Theni,30003,24406,5314,283
27,Thoothukudi,39658,32414,7040,204
28,Tiruchirappalli,42651,31790,10467,394
29,Tirunelveli,38049,31017,6722,310
30,Tirupathur,17328,13070,4008,250
31,Tiruppur,42192,32864,9038,290
32,Tiruvallur,88095,75197,11797,1101
33,Tiruvannamalai,32964,27631,4965,368
34,Tiruvarur,22703,18572,3972,159
35,Vellore,37216,32954,3687,575
36,Villupuram,27788,24096,3503,189
37,Virudhunagar,28286,23774,4208,304
38,Airport Surveillance (International),1004,1001,2,1
39,Airport Surveillance (Domestic),1075,1074,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1734804,1452283,263390,19131
