S.No,District,Total Positive Cases as on 05.08.2021,Discharged Cases as on 05.08.2021,Active Cases as on 05.08.2021,Death Cases as on 05.08.2021
1,Ariyalur,15877,15407,234,236
2,Chengalpattu,162584,158947,1228,2409
3,Chennai,539105,528891,1887,8327
4,Coimbatore,230463,226158,2117,2188
5,Cuddalore,60787,59255,717,815
6,Dharmapuri,26242,25672,335,235
7,Dindigul,32261,31466,170,625
8,Erode,94521,92241,1643,637
9,Kallakurichi,29287,28626,463,198
10,Kancheepuram,71919,70271,441,1207
11,Kanniyakumari,60243,58904,317,1022
12,Karur,22730,22208,171,351
13,Krishnagiri,41497,40847,326,324
14,Madurai,73615,72223,246,1146
15,Mayiladuthurai,21171,20647,253,271
16,Nagapattinam,18828,18144,393,291
17,Namakkal,47469,46451,563,455
18,Nilgiris,30755,30083,490,182
19,Perambalur,11526,11200,102,224
20,Pudukkottai,28292,27612,310,370
21,Ramanathapuram,20084,19605,129,350
22,Ranipet,42051,41087,221,743
23,Salem,93804,91332,900,1572
24,Sivaganga,18902,18450,253,199
25,Tenkasi,26893,26265,145,483
26,Thanjavur,68434,66541,1039,854
27,Theni,42981,42325,142,514
28,Thoothukudi,55178,54574,206,398
29,Tiruchirappalli,72795,71095,732,968
30,Tirunelveli,47995,47308,257,430
31,Tirupathur,28342,27520,221,601
32,Tiruppur,88261,86535,874,852
33,Tiruvallur,113910,111307,840,1763
34,Tiruvannamalai,52278,51098,542,638
35,Tiruvarur,38046,37283,389,374
36,Vellore,48176,46781,300,1095
37,Villupuram,44005,43305,359,341
38,Virudhunagar,45565,44852,173,540
39,Airport Surveillance (International),1018,1010,7,1
40,Airport Surveillance (Domestic),1080,1076,3,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2569398,2515030,20138,34230
