S.No,District,Total Positive Cases as on 12.08.2021,Discharged Cases as on 12.08.2021,Active Cases as on 12.08.2021,Death Cases as on 12.08.2021
1,Ariyalur,16056,15589,227,240
2,Chengalpattu,163383,159811,1159,2413
3,Chennai,540523,530095,2081,8347
4,Coimbatore,232114,227599,2308,2207
5,Cuddalore,61293,59676,796,821
6,Dharmapuri,26446,25893,315,238
7,Dindigul,32332,31557,147,628
8,Erode,95726,93367,1718,641
9,Kallakurichi,29557,28902,456,199
10,Kancheepuram,72188,70529,446,1213
11,Kanniyakumari,60476,59122,329,1025
12,Karur,22852,22311,190,351
13,Krishnagiri,41664,41047,291,326
14,Madurai,73747,72369,230,1148
15,Mayiladuthurai,21349,20823,255,271
16,Nagapattinam,19109,18402,412,295
17,Namakkal,47830,46801,570,459
18,Nilgiris,31094,30417,491,186
19,Perambalur,11586,11258,103,225
20,Pudukkottai,28560,27832,354,374
21,Ramanathapuram,20114,19682,81,351
22,Ranipet,42189,41234,210,745
23,Salem,94427,91981,844,1602
24,Sivaganga,19041,18620,222,199
25,Tenkasi,26935,26346,105,484
26,Thanjavur,69072,67177,1031,864
27,Theni,43047,42415,118,514
28,Thoothukudi,55288,54703,187,398
29,Tiruchirappalli,73281,71546,755,980
30,Tirunelveli,48164,47487,247,430
31,Tirupathur,28420,27641,174,605
32,Tiruppur,88841,87083,878,880
33,Tiruvallur,114541,111832,942,1767
34,Tiruvannamalai,52635,51506,488,641
35,Tiruvarur,38372,37551,443,378
36,Vellore,48386,46973,315,1098
37,Villupuram,44234,43546,347,341
38,Virudhunagar,45637,44970,125,542
39,Airport Surveillance (International),1019,1012,6,1
40,Airport Surveillance (Domestic),1080,1076,3,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2583036,2528209,20399,34428
