S.No,District,Total Positive Cases as on 22.02.2021,Discharged Cases as on 22.02.2021,Active Cases as on 22.02.2021,Death Cases as on 22.02.2021
1,Ariyalur,4728,4665,14,49
2,Chengalpattu,52497,51328,391,778
3,Chennai,234491,228697,1652,4142
4,Coimbatore,55502,54419,403,680
5,Cuddalore,25119,24772,60,287
6,Dharmapuri,6647,6567,25,55
7,Dindigul,11415,11160,55,200
8,Erode,14733,14455,128,150
9,Kallakurichi,10905,10789,8,108
10,Kancheepuram,29467,28942,80,445
11,Kanniyakumari,17045,16725,59,261
12,Karur,5488,5402,36,50
13,Krishnagiri,8140,7994,28,118
14,Madurai,21200,20680,60,460
15,Nagapattinam,8573,8392,48,133
16,Namakkal,11779,11628,40,111
17,Nilgiris,8331,8219,64,48
18,Perambalur,2282,2258,3,21
19,Pudukkottai,11635,11456,22,157
20,Ramanathapuram,6461,6309,15,137
21,Ranipet,16209,15998,22,189
22,Salem,32678,32144,68,466
23,Sivaganga,6764,6585,53,126
24,Tenkasi,8512,8319,34,159
25,Thanjavur,18002,17656,96,250
26,Theni,17146,16929,10,207
27,Thoothukudi,16339,16175,21,143
28,Tiruchirappalli,14929,14684,61,184
29,Tirunelveli,15700,15439,47,214
30,Tirupathur,7627,7491,10,126
31,Tiruppur,18259,17912,123,224
32,Tiruvallur,44078,43214,168,696
33,Tiruvannamalai,19464,19144,36,284
34,Tiruvarur,11326,11163,52,111
35,Vellore,20941,20538,53,350
36,Villupuram,15251,15116,22,113
37,Virudhunagar,16644,16399,13,232
38,Airport Surveillance (International),946,939,6,1
39,Airport Surveillance (Domestic),1043,1037,5,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,848724,832167,4091,12466
