S.No,District,Total Positive Cases as on 22.01.2021,Discharged Cases as on 22.01.2021,Active Cases as on 22.01.2021,Death Cases as on 22.01.2021
1,Ariyalur,4672,4614,9,49
2,Chengalpattu,51160,50020,378,762
3,Chennai,229860,223986,1790,4084
4,Coimbatore,53918,52738,514,666
5,Cuddalore,24873,24544,45,284
6,Dharmapuri,6553,6465,34,54
7,Dindigul,11164,10911,55,198
8,Erode,14168,13896,124,148
9,Kallakurichi,10866,10738,20,108
10,Kancheepuram,29134,28561,135,438
11,Kanniyakumari,16714,16364,93,257
12,Karur,5368,5264,54,50
13,Krishnagiri,8027,7872,38,117
14,Madurai,20901,20308,137,456
15,Nagapattinam,8371,8183,56,132
16,Namakkal,11521,11324,87,110
17,Nilgiris,8137,8041,49,47
18,Perambalur,2260,2238,1,21
19,Pudukkottai,11521,11330,35,156
20,Ramanathapuram,6400,6240,23,137
21,Ranipet,16064,15852,25,187
22,Salem,32261,31635,161,465
23,Sivaganga,6629,6470,33,126
24,Tenkasi,8380,8177,45,158
25,Thanjavur,17595,17230,121,244
26,Theni,17043,16785,53,205
27,Thoothukudi,16232,16046,45,141
28,Tiruchirappalli,14564,14274,111,179
29,Tirunelveli,15510,15231,67,212
30,Tirupathur,7546,7398,23,125
31,Tiruppur,17668,17279,169,220
32,Tiruvallur,43358,42446,225,687
33,Tiruvannamalai,19323,19004,36,283
34,Tiruvarur,11115,10948,58,109
35,Vellore,20634,20161,126,347
36,Villupuram,15143,14990,41,112
37,Virudhunagar,16531,16249,51,231
38,Airport Surveillance (International),940,935,4,1
39,Airport Surveillance (Domestic),1033,1030,2,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,833585,816205,5073,12307
