S.No,District,Total Positive Cases as on 01.08.2021,Discharged Cases as on 01.08.2021,Active Cases as on 01.08.2021,Death Cases as on 01.08.2021
1,Ariyalur,15794,15343,215,236
2,Chengalpattu,162096,158550,1143,2403
3,Chennai,538326,528333,1675,8318
4,Coimbatore,229583,225444,1961,2178
5,Cuddalore,60514,58956,747,811
6,Dharmapuri,26137,25549,353,235
7,Dindigul,32206,31385,199,622
8,Erode,93873,91717,1523,633
9,Kallakurichi,29117,28428,491,198
10,Kancheepuram,71751,70112,435,1204
11,Kanniyakumari,60131,58742,369,1020
12,Karur,22655,22148,156,351
13,Krishnagiri,41393,40747,324,322
14,Madurai,73516,72094,277,1145
15,Mayiladuthurai,21058,20493,296,269
16,Nagapattinam,18698,18008,401,289
17,Namakkal,47264,46218,595,451
18,Nilgiris,30573,29852,542,179
19,Perambalur,11490,11152,115,223
20,Pudukkottai,28156,27455,336,365
21,Ramanathapuram,20044,19557,138,349
22,Ranipet,41982,40981,259,742
23,Salem,93478,90826,1094,1558
24,Sivaganga,18812,18305,310,197
25,Tenkasi,26861,26231,150,480
26,Thanjavur,67981,66048,1085,848
27,Theni,42937,42270,153,514
28,Thoothukudi,55095,54467,233,395
29,Tiruchirappalli,72491,70811,714,966
30,Tirunelveli,47917,47157,332,428
31,Tirupathur,28262,27409,252,601
32,Tiruppur,87895,86095,964,836
33,Tiruvallur,113535,111024,758,1753
34,Tiruvannamalai,52099,50837,624,638
35,Tiruvarur,37878,37148,363,367
36,Vellore,48081,46653,333,1095
37,Villupuram,43878,43139,398,341
38,Virudhunagar,45511,44764,207,540
39,Airport Surveillance (International),1013,1010,2,1
40,Airport Surveillance (Domestic),1078,1075,2,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2561587,2506961,20524,34102
