S.No,District,Total Positive Cases as on 27.02.2021,Discharged Cases as on 27.02.2021,Active Cases as on 27.02.2021,Death Cases as on 27.02.2021
1,Ariyalur,4737,4672,16,49
2,Chengalpattu,52719,51603,336,780
3,Chennai,235350,229424,1774,4152
4,Coimbatore,55713,54648,382,683
5,Cuddalore,25154,24817,50,287
6,Dharmapuri,6652,6581,16,55
7,Dindigul,11473,11213,60,200
8,Erode,14782,14534,98,150
9,Kallakurichi,10907,10795,4,108
10,Kancheepuram,29524,29006,71,447
11,Kanniyakumari,17072,16761,50,261
12,Karur,5502,5426,26,50
13,Krishnagiri,8162,8015,29,118
14,Madurai,21233,20723,50,460
15,Nagapattinam,8599,8425,41,133
16,Namakkal,11803,11659,33,111
17,Nilgiris,8346,8240,58,48
18,Perambalur,2284,2259,4,21
19,Pudukkottai,11649,11476,16,157
20,Ramanathapuram,6471,6321,13,137
21,Ranipet,16239,16023,27,189
22,Salem,32735,32196,72,467
23,Sivaganga,6779,6611,42,126
24,Tenkasi,8545,8341,45,159
25,Thanjavur,18098,17726,116,256
26,Theni,17154,16938,9,207
27,Tirupathur,7632,7499,7,126
28,Tiruvallur,44200,43329,172,699
29,Tiruvannamalai,19493,19175,34,284
30,Tiruvarur,11346,11194,41,111
31,Thoothukudi,16353,16191,19,143
32,Tirunelveli,15728,15459,55,214
33,Tiruppur,18336,17990,122,224
34,Tiruchirappalli,14974,14738,53,183
35,Vellore,20975,20581,43,351
36,Villupuram,15261,15129,19,113
37,Virudhunagar,16662,16411,19,232
38,Airport Surveillance (International),950,939,10,1
39,Airport Surveillance (Domestic),1043,1038,4,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,851063,834534,4036,12493
